Game Turn, Player, Operation, Notes, Team, Team Notes, Team Members, Terrain
60, 1, City Defense, Started
60, 1, Operation Settle New City running
60, Settle New City, 1, , Battle line, 22:22, 1 endangered
65, 25, Attack Barb Camp, Attack Target Move, UNIT_WARRIOR, At 21:24, Move 23:24, Arrive 22:24
65, 25, Attack Barb Camp, Attack Target Move Direct, UNIT_ARCHER, At 18:23, Move -9999:-9999, Arrive 20:24
65, 63, Operation Barbarian Attack running
65, 63, Barbarian Attack, ,0, Not Ready, 
65, 63, Operation Barbarian City Assault running
65, 63, Barbarian City Assault, ,0, Not Ready, 
65, 63, Operation Barbarian Attack running
65, 63, Barbarian Attack, ,0, Not Ready, 
65, 63, Operation Barbarian Attack running
65, Barbarian Attack, 63, , Battle line, 58:22, 0 endangered
65, 63, Barbarian Attack, ,0, Not Ready, UNIT_ARCHER; 
65, 63, Operation Barbarian Attack running
65, 63, Barbarian Attack, ,0, Not Ready, 
65, 63, Operation Barbarian Attack running
65, Barbarian Attack, 63, , Battle line, 71:30, 1 endangered
65, 63, Barbarian Attack, ,0, Not Ready, UNIT_ARCHER; 
65, 63, Barbarian Attack, Operation Attack Units, UNIT_ARCHER, At 58:23, Move 58:23, Attack 59:23
65, 63, Barbarian Attack, Operation Move, UNIT_WARRIOR, 46:33, 50:35, 46:34
65, 63, Barbarian Attack, Operation Move, UNIT_ARCHER, 47:32, 49:35, 48:33
65, 63, Barbarian Attack, Operation Move, UNIT_WARRIOR, 46:32, 50:35, 47:32
65, 63, Barbarian Attack, Operation Attack Units, UNIT_ARCHER, At 72:31, Move 72:31, Attack 70:31
65, 63, Barbarian Attack, Operation complete
66, 1, City Defense, Started
66, 1, Operation Attack Enemy City running
66, Attack Enemy City, 1, , Battle line, 1073741834:22, 0 endangered
66, 1, Attack Enemy City, ,0, Not Ready, UNIT_WARRIOR; UNIT_WARRIOR; UNIT_ARCHER; 
66, 1, Operation Settle New City running
66, 1, Settle New City, ,0, Not Ready, 
66, 1, Operation City Defense running
66, City Defense, 1, , Battle line, 22:20, 0 endangered
66, 1, City Defense, ,0, Ready, UNIT_WARRIOR; UNIT_WARRIOR; UNIT_ARCHER; 
66, 1, Operation Naval Superiority running
66, Naval Superiority, 1, , Battle line, 5:23, 0 endangered
66, 1, Naval Superiority, ,0, Ready, UNIT_GALLEY; 
66, 1, Operation Attack Enemy City running
66, Attack Enemy City, 1, , Battle line, 1073741832:23, 0 endangered
66, 1, Attack Enemy City, ,0, Not Ready, UNIT_WARRIOR; 
66, 1, Operation City Defense running
66, 1, City Defense, ,0, Not Ready, 
66, 1, Operation Attack Barb Camp running
66, 1, Attack Barb Camp, ,0, Not Ready, 
66, 1, City Defense, No recruits to reach minimum, , , 
66, 1, City Defense, No recruits to match strength, , Enemy Str: 55.0, 
66, 1, City Defense, Operation Recruit, 0 units, Recruited 0, Contract for: UNIT_ARCHER
66, 1, City Defense, Operation complete
66, 1, City Defense, Operation complete
66, 1, Attack Enemy City, Recruiting minimums, , , UNIT_WARRIOR
66, 1, Attack Enemy City, Recruiting minimums, , , UNIT_ARCHER
66, 1, Attack Enemy City, Recruiting strength, , Enemy Str: 54.5, UNIT_WARRIOR
66, 1, Attack Enemy City, Recruiting strength, , Enemy Str: 54.5, UNIT_ARCHER
66, 1, Attack Enemy City, No recruits to reach minimum, , , 
66, 1, Attack Enemy City, No recruits to match strength, , Enemy Str: 54.5, 
66, Attack Enemy City, 1, , Battle line, 13:21, 0 endangered
66, 1, Attack Enemy City, Operation Recruit, 5 units, Recruited 2, Contract for: UNIT_ARCHER
66, 1, Attack Enemy City, Operation Attack Units, UNIT_ARCHER, At 9:24, Move 9:24, Attack 10:22
66, 1, Attack Enemy City, Operation Attack Units, UNIT_WARRIOR, At 10:25, Move 10:23, Attack -9999:-9999
66, 1, Attack Enemy City, Operation Move, UNIT_WARRIOR, 23:20, 23:20, 23:20
66, 1, Attack Enemy City, Operation Move, UNIT_ARCHER, 23:22, 23:22, 23:22
66, 1, Attack Enemy City, Operation Move, UNIT_WARRIOR, 14:22, 22:20, 14:21
66, Attack Enemy City, 1, , Battle line, 1073741832:23, 0 endangered
66, 1, Attack Enemy City, Recruiting minimums, , , UNIT_WARRIOR
66, 1, Attack Enemy City, No recruits to reach minimum, , , 
66, 1, Attack Enemy City, No recruits to match strength, , Enemy Str: 76.5, 
66, Attack Enemy City, 1, , Battle line, 14:22, 0 endangered
66, 1, Attack Enemy City, Operation Recruit, 2 units, Recruited 1, Contract for: UNIT_WARRIOR
66, 1, Attack Enemy City, Operation Move, UNIT_WARRIOR, 22:23, 21:21, 22:22
66, 1, Attack Enemy City, Operation Move, UNIT_WARRIOR, 9:25, 21:21, 11:25
66, 1, Attack Barb Camp, No recruits to reach minimum, , , 
66, 1, Attack Barb Camp, Operation Recruit, 0 units, Recruited 0, Contract for: UNIT_ARCHER
66, 1, Naval Superiority, Operation Recruit, 1 units, Recruited 0, Contract for: UNIT_GALLEY
66, 2, Operation Settle New City running
66, 2, Settle New City, ,0, Not Ready, 
66, 2, Operation Barb Camp Tech Boost running
66, 2, Barb Camp Tech Boost, ,0, Not Ready, 
66, 2, Operation Attack Enemy City running
66, 2, Attack Enemy City, ,0, Not Ready, UNIT_WARRIOR; UNIT_WARRIOR; UNIT_WARRIOR; UNIT_WARRIOR; UNIT_ARCHER; 
66, 2, Barb Camp Tech Boost, No recruits to reach minimum, , , 
66, 2, Barb Camp Tech Boost, No recruits to reach minimum, , , 
66, 2, Barb Camp Tech Boost, Operation Recruit, 0 units, Recruited 0, Contract for: UNIT_ARCHER
66, 3, Operation Settle New City running
66, 3, Settle New City, ,0, Ready, UNIT_ARCHER; UNIT_SETTLER; 
66, 3, Operation Attack Enemy City running
66, Attack Enemy City, 3, , Battle line, 715827891:23, 0 endangered
66, 3, Attack Enemy City, ,0, Not Ready, UNIT_WARRIOR; 
66, 3, Operation City Defense running
66, City Defense, 3, , Battle line, 9:21, 0 endangered
66, 3, City Defense, ,0, Ready, UNIT_ARCHER; 
66, 3, Operation Attack Barb Camp running
66, 3, Attack Barb Camp, ,0, Not Ready, 
66, 3, Operation Attack Enemy City running
66, 3, Attack Enemy City, ,0, Not Ready, 
66, 3, Settle New City, No recruits to reach minimum, , , 
66, 3, Settle New City, No recruits to match strength, , Enemy Str: 20.0, 
66, 3, Settle New City, Operation Recruit, 2 units, Recruited 0, Contract for: UNIT_ARCHER
66, 3, Settle New City, Operation Move, UNIT_ARCHER, 17:28, 8:13, 16:27
66, 3, Settle New City, Operation Move, UNIT_SETTLER, 16:27, 8:13, 16:27
66, City Defense, 3, , Battle line, 9:21, 0 endangered
66, City Defense, 3, , Battle line, 9:21, 0 endangered
66, 3, City Defense, Operation Recruit, 1 units, Recruited 0, Contract for: UNIT_ARCHER
66, Attack Enemy City, 3, , Battle line, 715827891:23, 0 endangered
66, Attack Enemy City, 3, , Battle line, 715827891:23, 0 endangered
66, 3, Attack Enemy City, Operation Recruit, 1 units, Recruited 0, Contract for: UNIT_HEAVY_CHARIOT
66, 3, Attack Enemy City, Operation Attack Units, UNIT_WARRIOR, At 8:23, Move 9:23, Attack 9:24
66, 3, Attack Barb Camp, Operation Recruit, 0 units, Recruited 0, Contract for: UNIT_ARCHER
66, 3, Attack Enemy City, Operation Recruit, 0 units, Recruited 0, Contract for: UNIT_HEAVY_CHARIOT
66, 4, Operation Settle New City running
66, 4, Settle New City, ,0, Ready, UNIT_WARRIOR; UNIT_SETTLER; UNIT_WARRIOR; UNIT_WARRIOR; 
66, 4, Operation Attack Barb Camp running
66, 4, Attack Barb Camp, ,0, Not Ready, UNIT_WARRIOR; 
66, 4, Operation Attack Enemy City running
66, 4, Attack Enemy City, ,0, Not Ready, 
66, 4, Operation Naval Superiority running
66, 4, Naval Superiority, ,0, Ready, UNIT_GALLEY; 
66, 4, Settle New City, No recruits to reach minimum, , , 
66, 4, Settle New City, No recruits to match strength, , Enemy Str: 25.0, 
66, 4, Settle New City, No recruits to reach minimum, , , 
66, 4, Settle New City, No recruits to match strength, , Enemy Str: 25.0, 
66, 4, Settle New City, Operation Recruit, 4 units, Recruited 0, Contract for: UNIT_ARCHER
66, 4, Settle New City, No recruits to reach minimum, , , 
66, 4, Settle New City, No recruits to match strength, , Enemy Str: 25.0, 
66, 4, Settle New City, No recruits to reach minimum, , , 
66, 4, Settle New City, No recruits to match strength, , Enemy Str: 25.0, 
66, 4, Settle New City, Operation Recruit, 4 units, Recruited 0, Contract for: UNIT_ARCHER
66, 4, Settle New City, Operation Move, UNIT_WARRIOR, 16:39, 16:39, 16:39
66, 4, Settle New City, Operation Move, UNIT_SETTLER, 16:39, 16:39, 16:39
66, 4, Settle New City, Operation Move, UNIT_WARRIOR, 15:39, 15:39, 15:39
66, 4, Settle New City, Operation Move, UNIT_WARRIOR, 15:38, 16:38, 16:38
66, 4, Settle New City, Operation Move, UNIT_WARRIOR, 15:39, 7:39, 13:39
66, 4, Settle New City, Operation Move, UNIT_WARRIOR, 16:39, 6:39, 15:38
66, 4, Settle New City, Operation Move, UNIT_SETTLER, 15:38, 6:39, 15:38
66, 4, Settle New City, Operation Move, UNIT_WARRIOR, 16:38, 7:38, 16:38
66, 4, Attack Barb Camp, No recruits to reach minimum, , , 
66, 4, Attack Barb Camp, No recruits to reach minimum, , , 
66, 4, Attack Barb Camp, Operation Recruit, 1 units, Recruited 0, Contract for: UNIT_ARCHER
66, 4, Attack Barb Camp, Operation Move, UNIT_WARRIOR, 10:39, 9:42, 10:40
66, 4, Attack Enemy City, No recruits to reach minimum, , , 
66, 4, Attack Enemy City, No recruits to reach minimum, , , 
66, 4, Attack Enemy City, Operation Recruit, 0 units, Recruited 0, Contract for: UNIT_WARRIOR
66, 4, Naval Superiority, No recruits to reach minimum, , , 
66, 4, Naval Superiority, Recruiting strength, , Enemy Str: 75.0, UNIT_GALLEY
66, 4, Naval Superiority, Operation Recruit, 2 units, Recruited 1, Contract for: UNIT_GALLEY
66, Attack Barb Camp, 5, , Battle line, 51:38, 0 endangered
66, Attack Enemy City, 5, , Battle line, 49:41, 0 endangered
66, City Defense, 17, , Battle line, 49:40, 0 endangered
66, City Defense, 17, , Battle line, 49:40, 0 endangered
66, 5, Operation Settle New City running
66, 5, Settle New City, ,0, Not Ready, 
66, 5, Operation Attack Barb Camp running
66, Attack Barb Camp, 5, , Battle line, 51:38, 0 endangered
66, 5, Attack Barb Camp, ,0, Not Ready, UNIT_WARRIOR; 
66, 5, Operation Attack Enemy City running
66, Attack Enemy City, 5, , Battle line, 49:41, 0 endangered
66, 5, Attack Enemy City, ,0, Ready, UNIT_WARRIOR; UNIT_WARRIOR; UNIT_WARRIOR; UNIT_WARRIOR; UNIT_WARRIOR; 
66, 5, Operation Naval Superiority running
66, 5, Naval Superiority, ,0, Ready, UNIT_GALLEY; 
66, 5, Attack Barb Camp, No recruits to reach minimum, , , 
66, 5, Attack Barb Camp, No recruits to reach minimum, , , 
66, 5, Attack Barb Camp, Operation Recruit, 1 units, Recruited 0, Contract for: UNIT_ARCHER
66, 5, Attack Barb Camp, Operation Move, UNIT_WARRIOR, 52:37, 59:45, 53:38
66, Attack Enemy City, 5, , Battle line, 49:41, 0 endangered
66, 5, Attack Enemy City, No recruits to reach minimum, , , 
66, 5, Attack Enemy City, No recruits to match strength, , Enemy Str: 143.0, 
66, 5, Attack Enemy City, No recruits to reach minimum, , , 
66, 5, Attack Enemy City, No recruits to match strength, , Enemy Str: 143.0, 
66, Attack Enemy City, 5, , Battle line, 49:41, 0 endangered
66, 5, Attack Enemy City, Operation Recruit, 5 units, Recruited 0, Contract for: UNIT_WARRIOR
66, Attack Enemy City, 5, , Battle line, 49:41, 0 endangered
66, 5, Attack Enemy City, No recruits to reach minimum, , , 
66, 5, Attack Enemy City, No recruits to match strength, , Enemy Str: 143.0, 
66, 5, Attack Enemy City, No recruits to reach minimum, , , 
66, 5, Attack Enemy City, No recruits to match strength, , Enemy Str: 143.0, 
66, Attack Enemy City, 5, , Battle line, 49:41, 0 endangered
66, 5, Attack Enemy City, Operation Recruit, 5 units, Recruited 0, Contract for: UNIT_WARRIOR
66, 5, Attack Enemy City, Operation Attack Units, UNIT_WARRIOR, At 51:41, Move 52:41, Attack 53:40
66, 5, Attack Enemy City, Operation Attack Units, UNIT_WARRIOR, At 50:42, Move 49:40, Attack -9999:-9999
66, 5, Attack Enemy City, Operation Attack Units, UNIT_WARRIOR, At 49:42, Move 50:40, Attack -9999:-9999
66, 5, Attack Enemy City, Operation Attack Units, UNIT_WARRIOR, At 49:41, Move 48:39, Attack -9999:-9999
66, 5, Civilian Builder Capture, Started
66, 5, Attack Enemy City, Operation Siege City, UNIT_WARRIOR, From 50:41, Goal: 51:42, Move 51:42
66, 5, Naval Superiority, No recruits to reach minimum, , , 
66, 5, Naval Superiority, No recruits to match strength, , Enemy Str: 75.0, 
66, 5, Naval Superiority, Operation Recruit, 1 units, Recruited 0, Contract for: UNIT_GALLEY
66, 5, Civilian Builder Capture, Operation Change Target INVALID, Changing to backup
66, 5, Civilian Builder Capture, Operation complete
66, 6, Operation Settle New City running
66, Settle New City, 6, , Battle line, 58:23, 0 endangered
66, 6, Settle New City, ,0, Ready, UNIT_SETTLER; UNIT_WARRIOR; 
66, 6, Operation Attack Barb Camp running
66, 6, Attack Barb Camp, ,0, Not Ready, 
66, 6, Operation City Defense running
66, City Defense, 6, , Battle line, 58:23, 0 endangered
66, 6, City Defense, ,0, Ready, UNIT_WARRIOR; 
66, 6, Operation Attack Enemy City running
66, 6, Attack Enemy City, ,0, Not Ready, UNIT_WARRIOR; 
66, 6, Naval Superiority, Started
66, 6, Settle New City, No recruits to reach minimum, , , 
66, 6, Settle New City, No recruits to match strength, , Enemy Str: 20.0, 
66, 6, Settle New City, Operation Recruit, 2 units, Recruited 0, Contract for: UNIT_ARCHER
66, 6, Settle New City, Operation Protect Units, UNIT_WARRIOR, Fortify
66, 6, City Defense, Operation Recruit, 1 units, Recruited 0, Contract for: UNIT_ARCHER
66, 6, Attack Enemy City, Operation Recruit, 1 units, Recruited 0, Contract for: UNIT_WARRIOR
66, 6, Attack Enemy City, Operation Move, UNIT_WARRIOR, 62:25, 62:25, 62:25
66, 6, Attack Barb Camp, Operation Recruit, 0 units, Recruited 0, Contract for: UNIT_ARCHER
66, 6, Naval Superiority, Operation Recruit, 0 units, Recruited 0, Contract for: UNIT_HEAVY_CHARIOT
66, 6, Naval Superiority, Operation complete
66, 7, Operation Settle New City running
66, 7, Settle New City, ,0, Not Ready, 
66, 7, Operation City Defense running
66, City Defense, 7, , Battle line, 19:39, 0 endangered
66, 7, City Defense, ,0, Ready, UNIT_SCOUT; 
66, 7, Operation City Defense running
66, City Defense, 7, , Battle line, 22:40, 0 endangered
66, 7, City Defense, ,0, Not Ready, UNIT_SCOUT; 
66, 7, Operation Attack Enemy City running
66, 7, Attack Enemy City, ,0, Not Ready, 
66, 7, Naval Superiority, Started
66, 7, City Defense, Operation Recruit, 1 units, Recruited 0, Contract for: UNIT_AZTEC_EAGLE_WARRIOR
66, 7, City Defense, Operation Recruit, 1 units, Recruited 0, Contract for: UNIT_AZTEC_EAGLE_WARRIOR
66, 7, Attack Enemy City, No recruits to reach minimum, , , 
66, 7, Attack Enemy City, Operation Recruit, 0 units, Recruited 0, Contract for: UNIT_AZTEC_EAGLE_WARRIOR
66, 7, Naval Superiority, No recruits to reach minimum, , , 
66, 7, Naval Superiority, Operation Recruit, 0 units, Recruited 0, Contract for: UNIT_AZTEC_EAGLE_WARRIOR
66, 7, Naval Superiority, Operation complete
66, 8, Operation City Defense running
66, 8, City Defense, ,0, Ready, UNIT_WARRIOR; 
66, 8, City Defense, No recruits to reach minimum, , , 
66, 8, City Defense, No recruits to match strength, , Enemy Str: 20.0, 
66, 8, City Defense, Operation Recruit, 1 units, Recruited 0, Contract for: UNIT_ARCHER
66, 11, Operation City Defense running
66, 11, City Defense, ,0, Ready, UNIT_WARRIOR; 
66, 11, City Defense, Operation complete
66, 15, Operation Attack Barb Camp running
66, 15, Attack Barb Camp, ,0, Ready, UNIT_WARRIOR; UNIT_ARCHER; 
66, 15, Attack Barb Camp, No recruits to reach minimum, , , 
66, 15, Attack Barb Camp, No recruits to match strength, , Enemy Str: 10.0, 
66, 15, Attack Barb Camp, Operation Recruit, 2 units, Recruited 0, Contract for: UNIT_ARCHER
66, 15, Attack Barb Camp, Operation Move, UNIT_WARRIOR, 63:9, 66:5, 63:8
66, 15, Attack Barb Camp, Operation Move, UNIT_ARCHER, 65:11, 67:7, 66:10
66, 16, Operation Attack Barb Camp running
66, Attack Barb Camp, 16, , Battle line, 21:12, 0 endangered
66, 16, Attack Barb Camp, ,0, Ready, UNIT_WARRIOR; UNIT_ARCHER; 
66, 16, Attack Barb Camp, No recruits to reach minimum, , , 
66, 16, Attack Barb Camp, No recruits to match strength, , Enemy Str: 41.0, 
66, 16, Attack Barb Camp, Operation Recruit, 2 units, Recruited 0, Contract for: UNIT_ARCHER
66, 16, Attack Barb Camp, Operation Protect Units, UNIT_WARRIOR, Fortify
66, 16, Attack Barb Camp, Operation Attack Units, UNIT_ARCHER, At 23:12, Move 23:12, Attack 21:13
66, 17, Operation City Defense running
66, City Defense, 17, , Battle line, 49:40, 0 endangered
66, 17, City Defense, ,0, Not Ready, UNIT_WARRIOR; UNIT_WARRIOR; 
66, 17, Attack Enemy City, Started
66, City Defense, 17, , Battle line, 49:40, 0 endangered
66, 17, City Defense, No recruits to reach minimum, , , 
66, 17, City Defense, Recruiting strength, , Enemy Str: 98.0, UNIT_ARCHER
66, 17, City Defense, Recruiting strength, , Enemy Str: 98.0, UNIT_ARCHER
66, City Defense, 17, , Battle line, 50:41, 1 endangered
66, 17, City Defense, Operation Recruit, 4 units, Recruited 2, Contract for: UNIT_ARCHER
66, 17, City Defense, Operation Attack Units, UNIT_WARRIOR, At 49:39, Move 49:39, Attack 49:40
66, 17, City Defense, Operation Attack Units, UNIT_ARCHER, At 53:40, Move 53:40, Attack 52:41
66, 17, City Defense, Operation Attack Units, UNIT_ARCHER, At 54:46, Move 53:43, Attack -9999:-9999
66, 17, Attack Enemy City, Operation Recruit, 0 units, Recruited 0, Contract for: UNIT_ARCHER
66, 22, Operation City Defense running
66, 22, City Defense, ,0, Ready, UNIT_WARRIOR; 
66, 22, Operation Attack Barb Camp running
66, Attack Barb Camp, 22, , Battle line, 12:49, 0 endangered
66, 22, Attack Barb Camp, ,0, Ready, UNIT_WARRIOR; UNIT_ARCHER; UNIT_ARCHER; 
66, 22, City Defense, No recruits to reach minimum, , , 
66, 22, City Defense, No recruits to match strength, , Enemy Str: 20.0, 
66, 22, City Defense, Operation Recruit, 1 units, Recruited 0, Contract for: UNIT_ARCHER
66, 22, City Defense, Operation Move, UNIT_WARRIOR, 16:42, 15:42, 15:42
66, 22, Attack Barb Camp, No recruits to reach minimum, , , 
66, 22, Attack Barb Camp, No recruits to match strength, , Enemy Str: 36.0, 
66, 22, Attack Barb Camp, Operation Recruit, 3 units, Recruited 0, Contract for: UNIT_ARCHER
66, 22, Attack Barb Camp, Operation Protect Units, UNIT_WARRIOR, Promote
66, 22, Attack Barb Camp, Operation Attack Units, UNIT_ARCHER, At 13:48, Move 13:48, Attack 12:50
66, 22, Attack Barb Camp, Operation Attack Units, UNIT_ARCHER, At 12:47, Move 12:49, Attack -9999:-9999
66, 25, City Defense, Started
66, 25, Operation Attack Barb Camp running
66, 25, Attack Barb Camp, ,0, Ready, UNIT_ARCHER; UNIT_ARCHER; UNIT_WARRIOR; UNIT_ARCHER; 
66, 25, Operation City Defense running
66, 25, City Defense, ,0, Ready, 
66, 25, City Defense, No recruits to reach minimum, , , 
66, 25, City Defense, No recruits to match strength, , Enemy Str: 20.0, 
66, 25, City Defense, Operation Recruit, 0 units, Recruited 0, Contract for: UNIT_ARCHER
66, 25, City Defense, Operation complete
66, 25, Attack Barb Camp, No recruits to reach minimum, , , 
66, 25, Attack Barb Camp, No recruits to match strength, , Enemy Str: 28.0, 
66, 25, Attack Barb Camp, Operation Recruit, 4 units, Recruited 0, Contract for: UNIT_WARRIOR
66, 25, Attack Barb Camp, Attack Target Move, UNIT_ARCHER, At 21:23, Move 22:23, Arrive 22:23
66, 25, Attack Barb Camp, Attack Target Move, UNIT_WARRIOR, At 22:24, Move 23:24, Arrive 23:24
66, 25, Attack Barb Camp, Attack Target Move, UNIT_ARCHER, At 20:24, Move 21:25, Arrive 21:24
66, 25, Attack Barb Camp, Attack Target Melee Attack, UNIT_ARCHER, At 23:25
66, 63, Operation Barbarian Attack running
66, Barbarian Attack, 63, , Battle line, 47:33, 0 endangered
66, 63, Barbarian Attack, ,0, Ready, UNIT_WARRIOR; UNIT_WARRIOR; UNIT_ARCHER; 
66, 63, Operation Barbarian City Assault running
66, 63, Barbarian City Assault, ,0, Not Ready, 
66, 63, Operation Barbarian Attack running
66, 63, Barbarian Attack, ,0, Not Ready, 
66, 63, Operation Barbarian Attack running
66, Barbarian Attack, 63, , Battle line, 58:22, 0 endangered
66, 63, Barbarian Attack, ,0, Not Ready, UNIT_ARCHER; 
66, 63, Operation Barbarian Attack running
66, 63, Barbarian Attack, ,0, Not Ready, 
66, 63, Barbarian Attack, Operation Attack Units, UNIT_ARCHER, At 58:23, Move 58:23, Attack 59:23
66, 63, Barbarian Attack, Operation Attack Units, UNIT_ARCHER, At 48:33, Move 49:34, Attack 48:34
66, 63, Barbarian Attack, Operation Attack Units, UNIT_WARRIOR, At 47:32, Move 48:33, Attack -9999:-9999
66, 63, Barbarian Attack, Operation Move, UNIT_WARRIOR, 46:34, 50:35, 45:35
67, 1, City Defense, Started
67, 1, Operation Attack Enemy City running
67, Attack Enemy City, 1, , Battle line, 13:21, 0 endangered
67, 1, Attack Enemy City, ,0, Ready, UNIT_WARRIOR; UNIT_WARRIOR; UNIT_ARCHER; UNIT_WARRIOR; UNIT_ARCHER; 
67, 1, Operation Settle New City running
67, 1, Settle New City, ,0, Not Ready, 
67, 1, Operation Naval Superiority running
67, Naval Superiority, 1, , Battle line, 3:18, 0 endangered
67, 1, Naval Superiority, ,0, Ready, UNIT_GALLEY; 
67, 1, Operation Attack Enemy City running
67, Attack Enemy City, 1, , Battle line, 16:22, 0 endangered
67, 1, Attack Enemy City, ,0, Not Ready, UNIT_WARRIOR; UNIT_WARRIOR; 
67, 1, Operation City Defense running
67, 1, City Defense, ,0, Not Ready, 
67, 1, Operation Attack Barb Camp running
67, 1, Attack Barb Camp, ,0, Not Ready, 
67, 1, City Defense, No recruits to reach minimum, , , 
67, 1, City Defense, No recruits to match strength, , Enemy Str: 53.0, 
67, 1, City Defense, Operation Recruit, 0 units, Recruited 0, Contract for: UNIT_ARCHER
67, 1, City Defense, Operation complete
67, 1, Attack Enemy City, Operation Protect Units, UNIT_ARCHER, Promote
67, 1, Attack Enemy City, Operation Attack Units, UNIT_WARRIOR, At 10:23, Move 10:23, Attack 9:23
67, 1, Attack Enemy City, Operation Move, UNIT_WARRIOR, 23:20, 23:20, 23:20
67, 1, Attack Enemy City, Operation Move, UNIT_ARCHER, 23:22, 23:22, 23:22
67, 1, Attack Enemy City, Operation Move, UNIT_WARRIOR, 14:21, 22:20, 15:21
67, Attack Enemy City, 1, , Battle line, 16:22, 0 endangered
67, 1, Attack Enemy City, No recruits to reach minimum, , , 
67, 1, Attack Enemy City, No recruits to match strength, , Enemy Str: 51.5, 
67, Attack Enemy City, 1, , Battle line, 16:22, 0 endangered
67, 1, Attack Enemy City, Operation Recruit, 2 units, Recruited 0, Contract for: UNIT_WARRIOR
67, 1, Attack Enemy City, Operation Move, UNIT_WARRIOR, 22:22, 21:21, 21:21
67, 1, Attack Enemy City, Operation Move, UNIT_WARRIOR, 11:25, 20:21, 12:25
67, 1, Attack Barb Camp, No recruits to reach minimum, , , 
67, 1, Attack Barb Camp, Operation Recruit, 0 units, Recruited 0, Contract for: UNIT_ARCHER
67, 1, Naval Superiority, Operation Recruit, 1 units, Recruited 0, Contract for: UNIT_GALLEY
67, 2, Operation Settle New City running
67, 2, Settle New City, ,0, Not Ready, 
67, 2, Operation Barb Camp Tech Boost running
67, 2, Barb Camp Tech Boost, ,0, Not Ready, 
67, 2, Operation Attack Enemy City running
67, 2, Attack Enemy City, ,0, Not Ready, UNIT_WARRIOR; UNIT_WARRIOR; UNIT_WARRIOR; UNIT_WARRIOR; UNIT_ARCHER; 
67, 2, Barb Camp Tech Boost, No recruits to reach minimum, , , 
67, 2, Barb Camp Tech Boost, No recruits to reach minimum, , , 
67, 2, Barb Camp Tech Boost, Operation Recruit, 0 units, Recruited 0, Contract for: UNIT_ARCHER
67, 2, Attack Enemy City, Operation complete
67, 3, Operation Settle New City running
67, 3, Settle New City, ,0, Ready, UNIT_ARCHER; UNIT_SETTLER; 
67, 3, Operation Attack Enemy City running
67, Attack Enemy City, 3, , Battle line, 715827891:23, 1 endangered
67, 3, Attack Enemy City, ,0, Not Ready, UNIT_WARRIOR; 
67, 3, Operation City Defense running
67, City Defense, 3, , Battle line, 9:21, 0 endangered
67, 3, City Defense, ,0, Ready, UNIT_ARCHER; 
67, 3, Operation Attack Barb Camp running
67, 3, Attack Barb Camp, ,0, Not Ready, 
67, 3, Operation Attack Enemy City running
67, 3, Attack Enemy City, ,0, Not Ready, 
67, 3, Settle New City, No recruits to reach minimum, , , 
67, 3, Settle New City, No recruits to match strength, , Enemy Str: 20.0, 
67, 3, Settle New City, Operation Recruit, 2 units, Recruited 0, Contract for: UNIT_ARCHER
67, 3, Settle New City, Operation Move, UNIT_ARCHER, 16:27, 8:13, 17:26
67, 3, Settle New City, Operation Move, UNIT_SETTLER, 17:26, 8:13, 17:26
67, 3, City Defense, Operation Recruit, 1 units, Recruited 0, Contract for: UNIT_ARCHER
67, 3, Attack Enemy City, Operation Recruit, 1 units, Recruited 0, Contract for: UNIT_HEAVY_CHARIOT
67, 3, Attack Enemy City, Operation Protect Units, UNIT_WARRIOR, Move 8 23
67, 3, Attack Barb Camp, Operation Recruit, 0 units, Recruited 0, Contract for: UNIT_ARCHER
67, 3, Attack Enemy City, Operation Recruit, 0 units, Recruited 0, Contract for: UNIT_HEAVY_CHARIOT
67, 4, Operation Settle New City running
67, 4, Settle New City, ,0, Ready, UNIT_WARRIOR; UNIT_SETTLER; UNIT_WARRIOR; UNIT_WARRIOR; 
67, 4, Operation Attack Barb Camp running
67, Attack Barb Camp, 4, , Battle line, 8:41, 0 endangered
67, 4, Attack Barb Camp, ,0, Not Ready, UNIT_WARRIOR; 
67, 4, Operation Attack Enemy City running
67, 4, Attack Enemy City, ,0, Not Ready, 
67, 4, Operation Naval Superiority running
67, 4, Naval Superiority, ,0, Ready, UNIT_GALLEY; UNIT_GALLEY; 
67, 4, Settle New City, No recruits to reach minimum, , , 
67, 4, Settle New City, No recruits to match strength, , Enemy Str: 25.0, 
67, 4, Settle New City, No recruits to reach minimum, , , 
67, 4, Settle New City, No recruits to match strength, , Enemy Str: 25.0, 
67, 4, Settle New City, Operation Recruit, 4 units, Recruited 0, Contract for: UNIT_ARCHER
67, 4, Settle New City, Operation Move, UNIT_WARRIOR, 13:39, 7:39, 12:38
67, 4, Settle New City, Operation Move, UNIT_WARRIOR, 15:38, 6:39, 13:39
67, 4, Settle New City, Operation Move, UNIT_SETTLER, 13:39, 6:39, 13:39
67, 4, Settle New City, Operation Move, UNIT_WARRIOR, 16:38, 7:38, 14:39
67, 4, Attack Barb Camp, No recruits to reach minimum, , , 
67, 4, Attack Barb Camp, No recruits to reach minimum, , , 
67, 4, Attack Barb Camp, Operation Recruit, 1 units, Recruited 0, Contract for: UNIT_ARCHER
67, 4, Attack Barb Camp, Operation Move, UNIT_WARRIOR, 10:40, 9:42, 9:41
